Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2025-01-26,00:00,,Exeter Storm,3,25 25 20 25 -,London Baks,1,23 20 25 20 -,Division 1 Men,men,Riverside Leisure Centre,Daniel Sarnik,Mel Melville-brown
2025-01-26,00:00,,Black Country,3,19 25 27 19 28,Cambridge ARU,2,25 18 25 25 26,Division 1 Men,men,Cleobury Mortimer Sports Centre,Ben Hill,Bee Yusuf
2025-01-25,00:00,,Hull Thunder,1,22 25 9 15 -,Newcastle Staffs,3,25 17 25 25 -,Division 1 Men,men,Steve Prescott Sports Centre,Stivan Kolev,Edward Arnott
2025-01-25,00:00,,Bristol,3,25 25 27 - -,London Baks,0,16 14 25 - -,Division 1 Men,men,Avanti Gardens School,Ignacio Diez,Jayne Jones
2025-01-19,00:00,,Lincoln Cannons,0,22 26 11 - -,Cambridge ARU,3,25 28 25 - -,Division 1 Men,men,Riseholme College (Showground Campus),Chris Tsui,Edward Arnott
2025-01-19,00:00,,Tamworth Spartans,1,28 18 23 23 -,London Aces,3,26 25 25 25 -,Division 1 Men,men,Wilnecote Leisure Centre,Rita Grimes,Ana Pal
2025-01-18,00:00,,London Baks,2,17 13 25 25 11,Exeter Storm,3,25 25 15 21 15,Division 1 Men,men,Castle Green Sport Centre,Herman Prada,Korosh Alikhani
2025-01-18,00:00,,Lincoln Cannons,0,21 20 18 - -,Newcastle Staffs,3,25 25 25 - -,Division 1 Men,men,Riseholme College (Showground Campus),Pete Whyard,Chris Tsui
2025-01-18,00:00,,Black Country,3,25 26 20 21 15,London Aces,2,22 24 25 25 11,Division 1 Men,men,Cleobury Mortimer Sports Centre,Elia Gironacci,John Boughton
2025-01-05,00:00,,Bristol,3,20 25 24 25 15,Hull Thunder,2,25 21 26 22 13,Division 1 Men,men,Avanti Gardens School,Neil Bentley,Jacky Pang
2025-01-04,00:00,,Exeter Storm,2,15 16 25 25 10,Hull Thunder,3,25 25 23 17 15,Division 1 Men,men,Riverside Leisure Centre,Neil Bentley,Christopher Semmens
2024-12-15,00:00,,Cambridge ARU,2,25 25 23 26 10,Newcastle Staffs,3,14 23 25 28 15,Division 1 Men,men,Stephen Perse Foundation,Aliaksandr Siarheyeu,Ryszard Dabrowski
2024-12-15,00:00,,Bristol,2,24 22 25 25 10,Lincoln Cannons,3,26 25 18 14 15,Division 1 Men,men,Avanti Gardens School,Timothy Hebborn,Richard Parkes
2024-12-14,00:00,,Hull Thunder,3,23 25 25 25 -,Tamworth Spartans,1,25 22 23 14 -,Division 1 Men,men,Steve Prescott Sports Centre,Stivan Kolev,Diane Hollows
2024-12-14,00:00,,Exeter Storm,1,16 25 15 19 -,Bristol,3,25 16 25 25 -,Division 1 Men,men,Riverside Leisure Centre,Connor Bromley,Ignacio Diez
2024-12-14,00:00,,London Baks,1,18 20 25 17 -,London Aces,3,25 25 21 25 -,Division 1 Men,men,Castle Green Sport Centre,Francesca Hossain,Carl Padayachee
2024-12-14,00:00,,Exeter Storm,1,16 19 25 19 -,Lincoln Cannons,3,25 25 13 25 -,Division 1 Men,men,Riverside Leisure Centre,Ignacio Diez,Connor Bromley
2024-12-08,00:00,,Cambridge ARU,1,25 18 18 25 -,Black Country,3,23 25 25 27 -,Division 1 Men,men,North Cambridge Academy,Herman Prada,Aliaksandr Siarheyeu
2024-12-07,00:00,,Leeds Gorse,3,25 25 25 - -,London Baks,0,18 17 22 - -,Division 1 Men,men,The Ruth Gorse Academy,Stivan Kolev,Debra Smart
2024-12-07,00:00,,London Aces,3,25 25 25 - -,Newcastle Staffs,0,16 23 22 - -,Division 1 Men,men,Lambeth Academy,Herman Prada,Nicolas Vecchione
2024-12-01,00:00,,Lincoln Cannons,3,25 25 25 - -,Tamworth Spartans,0,18 20 18 - -,Division 1 Men,men,Riseholme College (Showground Campus),Igors Maksimovs,Stivan Kolev
2024-12-01,00:00,,Bristol,3,17 25 25 26 -,Cambridge ARU,1,25 20 18 24 -,Division 1 Men,men,Avanti Gardens School,Francesca Bentley,Jacky Pang
